2022-10-02 20:01:45.413 INFO  [93715] Logger 0 Initialized
2022-10-02 21:23:06.735 INFO  [108358] Logger 0 Initialized
2022-10-02 21:24:47.824 INFO  [108648] Logger 0 Initialized
2022-10-02 21:27:20.759 INFO  [109080] Logger 0 Initialized
2022-10-02 21:31:45.942 INFO  [109846] Logger 0 Initialized
2022-10-02 21:34:02.815 INFO  [110271] Logger 0 Initialized
2022-10-02 21:35:52.566 INFO  [110619] Logger 0 Initialized
2022-10-02 21:37:42.287 INFO  [110974] Logger 0 Initialized
2022-10-02 21:39:04.118 INFO  [111231] Logger 0 Initialized
2022-10-02 21:41:20.936 INFO  [111584] Logger 0 Initialized
2022-10-02 21:42:39.482 INFO  [111839] Logger 0 Initialized
2022-10-02 21:44:17.068 INFO  [112117] Logger 0 Initialized
2022-10-02 21:46:37.831 INFO  [112608] Logger 0 Initialized
2022-10-02 21:47:26.713 INFO  [112786] Logger 0 Initialized
2022-10-02 21:49:35.240 INFO  [113150] Logger 0 Initialized
2022-10-02 21:51:22.082 INFO  [113493] Logger 0 Initialized
2022-10-02 21:53:19.121 INFO  [113819] Logger 0 Initialized
2022-10-02 21:54:06.621 INFO  [113985] Logger 0 Initialized
2022-10-02 21:58:50.704 INFO  [114819] Logger 0 Initialized
2022-10-02 22:01:32.653 INFO  [115227] Logger 0 Initialized
2022-10-02 22:04:22.688 INFO  [115706] Logger 0 Initialized
2022-10-02 22:07:17.871 INFO  [116193] Logger 0 Initialized
2022-10-02 22:08:12.302 INFO  [116382] Logger 0 Initialized
2022-10-02 22:09:20.619 INFO  [116588] Logger 0 Initialized
2022-10-02 22:11:09.526 INFO  [116874] Logger 0 Initialized
2022-10-02 22:11:50.260 INFO  [116998] Logger 0 Initialized
2022-10-02 22:15:07.874 INFO  [117573] Logger 0 Initialized
2022-10-02 22:15:51.079 INFO  [117718] Logger 0 Initialized
2022-10-02 22:17:38.479 INFO  [118024] Logger 0 Initialized
2022-10-02 22:19:28.070 INFO  [118340] Logger 0 Initialized
2022-10-02 22:24:00.074 INFO  [119272] Logger 0 Initialized
2022-10-02 22:24:57.558 INFO  [119461] Logger 0 Initialized
2022-10-02 22:25:48.045 INFO  [119612] Logger 0 Initialized
2022-10-02 22:26:26.939 INFO  [119758] Logger 0 Initialized
2022-10-02 22:27:35.529 INFO  [119983] Logger 0 Initialized
2022-10-02 22:28:35.457 INFO  [120174] Logger 0 Initialized
2022-10-02 22:29:13.727 INFO  [120299] Logger 0 Initialized
2022-10-02 22:30:02.423 INFO  [120457] Logger 0 Initialized
2022-10-02 22:31:43.818 INFO  [120726] Logger 0 Initialized
2022-10-02 22:34:14.530 INFO  [121139] Logger 0 Initialized
2022-10-02 22:35:28.999 INFO  [121341] Logger 0 Initialized
2022-10-02 22:36:18.793 INFO  [121516] Logger 0 Initialized
2022-10-02 22:36:50.755 INFO  [121617] Logger 0 Initialized
2022-10-02 22:37:44.844 INFO  [121769] Logger 0 Initialized
2022-10-02 22:38:57.224 INFO  [122084] Logger 0 Initialized
2022-10-02 22:45:20.145 INFO  [123687] Logger 0 Initialized
2022-10-02 22:46:51.567 INFO  [123949] Logger 0 Initialized
2022-10-02 22:48:12.047 INFO  [124205] Logger 0 Initialized
2022-10-02 22:52:00.054 INFO  [124871] Logger 0 Initialized
2022-10-02 22:57:55.061 INFO  [125861] Logger 0 Initialized
2022-10-02 23:00:55.871 INFO  [126351] Logger 0 Initialized
2022-10-02 23:05:56.409 INFO  [127145] Logger 0 Initialized
2022-10-02 23:13:31.431 INFO  [128555] Logger 0 Initialized
2022-10-02 23:15:02.790 INFO  [128848] Logger 0 Initialized
2022-10-02 23:23:12.918 INFO  [130237] Logger 0 Initialized
2022-10-02 23:25:52.952 INFO  [130679] Logger 0 Initialized
2022-10-02 23:26:34.115 INFO  [130825] Logger 0 Initialized
2022-10-02 23:32:04.707 INFO  [131780] Logger 0 Initialized
2022-10-02 23:34:18.751 INFO  [132166] Logger 0 Initialized
2022-10-02 23:38:35.457 INFO  [132889] Logger 0 Initialized
2022-10-02 23:40:06.529 INFO  [133215] Logger 0 Initialized
2022-10-02 23:41:35.325 INFO  [133682] Logger 0 Initialized
2022-10-03 00:01:13.804 INFO  [138011] Logger 0 Initialized
2022-10-03 00:03:41.400 INFO  [138484] Logger 0 Initialized
2022-10-03 00:06:00.404 INFO  [138888] Logger 0 Initialized
2022-10-03 00:06:56.219 INFO  [139108] Logger 0 Initialized
2022-10-03 00:08:04.378 INFO  [139369] Logger 0 Initialized
